1	1	2
2	1	6
3	1	7
4	1	8
5	1	10
6	1	11
7	1	12
8	1	13
9	1	16
10	1	17
11	1	18
12	1	19
13	1	23
14	1	24
15	1	25
16	1	28
17	1	29
18	2	5
19	2	32
20	2	33
21	2	3
22	2	35
23	2	37
24	2	4
25	2	38
26	2	39
27	2	41
28	2	42
29	2	43
30	2	44
31	2	45
32	2	1
33	2	46
34	6	47
35	6	48
36	6	49
37	6	52
38	6	59
39	6	60
40	6	51
41	6	62
42	6	63
43	6	64
44	6	65
45	7	66
46	7	29
47	7	67
48	8	68
49	8	69
50	8	77
51	8	82
52	8	86
53	8	76
54	8	101
55	8	104
56	8	9
57	8	127
58	8	132
59	8	135
60	8	140
61	8	154
62	8	160
63	8	165
64	8	156
65	8	95
66	8	179
67	8	197
68	8	200
69	8	201
70	8	206
71	8	209
72	8	220
73	10	221
74	10	222
75	10	223
76	10	225
77	11	226
78	11	227
79	11	228
80	11	232
81	11	240
82	11	250
83	11	258
84	11	262
85	11	264
86	11	229
87	11	277
88	11	278
89	11	281
90	11	283
91	11	286
92	11	287
93	11	289
94	11	290
95	11	297
96	11	300
97	11	302
98	13	303
99	13	307
100	13	318
101	13	305
102	13	332
103	13	341
104	13	348
105	13	356
106	13	369
107	13	376
108	13	385
109	13	391
110	13	393
111	13	399
112	13	407
113	13	412
114	13	346
115	13	343
116	13	14
117	13	431
118	13	437
119	13	438
120	13	439
121	13	452
122	13	454
123	13	456
124	13	458
125	13	459
126	13	460
127	13	463
128	13	464
129	13	465
130	13	466
131	13	470
132	13	471
133	13	475
134	16	476
135	16	485
136	16	486
137	16	491
138	16	492
139	16	505
140	16	510
141	16	513
142	16	514
143	18	516
144	19	520
145	19	522
146	19	523
147	19	524
148	19	530
149	19	531
150	19	20
151	19	532
152	19	22
153	19	536
154	19	537
155	19	533
156	19	21
157	23	547
158	23	555
159	23	556
160	23	562
161	23	563
162	23	564
163	23	565
164	23	566
165	23	567
166	23	568
167	23	569
168	24	570
169	24	571
170	24	572
171	24	573
172	25	582
173	25	583
174	25	586
175	25	592
176	25	599
177	25	601
178	25	27
179	25	603
180	25	605
181	25	617
182	25	618
183	25	26
184	25	624
185	25	625
186	25	630
187	25	631
188	25	632
189	25	633
190	25	634
191	25	635
192	25	636
193	25	637
194	25	638
195	28	639
196	29	643
197	29	644
198	29	7
199	29	8
200	29	645
201	5	646
202	5	647
203	5	648
204	5	308
205	5	30
206	5	658
207	5	656
208	5	667
209	5	670
210	5	671
211	5	672
212	5	677
213	5	678
214	5	688
215	5	691
216	5	692
217	5	693
218	5	695
219	5	696
220	5	699
221	5	702
222	5	709
223	5	710
224	5	712
225	5	713
226	5	714
227	5	716
228	5	701
229	5	717
230	5	718
231	5	720
232	5	660
233	5	728
234	5	729
235	5	730
236	5	732
237	33	734
238	33	738
239	33	748
240	33	2
241	33	749
242	33	3
243	33	34
244	3	758
245	3	762
246	3	763
247	3	764
248	3	770
249	3	771
250	3	772
251	3	773
252	3	776
253	3	761
254	3	786
255	3	789
